Category,Year,Total_Registrations,EV_Registrations,EV_Penetration_Percent
2W,2011,10489721.0,4068.0,0.03878082172061583
2W,2012,12378594.0,6662.0,0.05381871317534124
2W,2013,12989261.0,3477.0,0.026768266493374798
2W,2014,13685653.0,1895.0,0.013846617329841698
2W,2015,14961451.0,1569.0,0.010486950764334287
2W,2016,15577836.0,1471.0,0.009442903366038775
2W,2017,16760471.0,1394.0,0.008317188699529984
2W,2018,18542331.0,2008.0,0.010829274916945446
2W,2019,19501119.0,28494.0,0.14611469218766368
2W,2020,20600931.0,28147.0,0.13662974746141326
2W,2021,14279428.0,49486.0,0.34655449784123005
2W,2022,14645293.0,279893.0,1.911146468698168
2W,2023,21763966.0,783373.0,3.59940371162131
2W,2024,17550913.0,1012841.0,5.770873572218152
2W,2025,19551827.0,1209658.0,6.186930766112036
3W Goods,2011,65737.0,7.0,0.010648493238206793
3W Goods,2012,77944.0,10.0,0.012829723904341579
3W Goods,2013,73002.0,14.0,0.01917755677926632
3W Goods,2014,71850.0,4.0,0.0055671537926235215
3W Goods,2015,78306.0,4.0,0.005108165402395729
3W Goods,2016,79129.0,9.0,0.011373832602459276
3W Goods,2017,87194.0,33.0,0.037846640823909906
3W Goods,2018,97259.0,137.0,0.14086100001028182
3W Goods,2019,115637.0,303.0,0.26202685991507907
3W Goods,2020,128334.0,342.0,0.26649212211884615
3W Goods,2021,66925.0,843.0,1.2596189764661936
3W Goods,2022,79950.0,6603.0,8.25891181988743
3W Goods,2023,97143.0,16067.0,16.539534500684557
3W Goods,2024,122160.0,31758.0,25.99705304518664
3W Goods,2025,130220.0,28044.0,21.535862386730148
3W Passenger,2011,364407.0,19.0,0.00521395033575096
3W Passenger,2012,367666.0,28.0,0.007615607643894187
3W Passenger,2013,408442.0,17.0,0.004162157662532257
3W Passenger,2014,353250.0,23.0,0.006510969568294409
3W Passenger,2015,401805.0,10.0,0.002488769427956347
3W Passenger,2016,395938.0,590.0,0.1490132293439882
