State,Date,Year,Month,EV_Registrations
Andaman And Nicobar Islands,2019-05-01,2019,5,2.0
Andaman And Nicobar Islands,2020-02-01,2020,2,3.0
Andaman And Nicobar Islands,2020-06-01,2020,6,10.0
Andaman And Nicobar Islands,2020-07-01,2020,7,15.0
Andaman And Nicobar Islands,2020-09-01,2020,9,1.0
Andaman And Nicobar Islands,2020-10-01,2020,10,3.0
Andaman And Nicobar Islands,2020-11-01,2020,11,2.0
Andaman And Nicobar Islands,2020-12-01,2020,12,2.0
Andaman And Nicobar Islands,2021-01-01,2021,1,15.0
Andaman And Nicobar Islands,2021-02-01,2021,2,26.0
Andaman And Nicobar Islands,2021-03-01,2021,3,31.0
Andaman And Nicobar Islands,2021-04-01,2021,4,9.0
Andaman And Nicobar Islands,2021-07-01,2021,7,8.0
Andaman And Nicobar Islands,2021-08-01,2021,8,1.0
Andaman And Nicobar Islands,2021-10-01,2021,10,1.0
Andaman And Nicobar Islands,2021-12-01,2021,12,1.0
Andaman And Nicobar Islands,2022-03-01,2022,3,2.0
Andaman And Nicobar Islands,2022-04-01,2022,4,1.0
Andaman And Nicobar Islands,2022-11-01,2022,11,7.0
Andaman And Nicobar Islands,2022-12-01,2022,12,13.0
Andaman And Nicobar Islands,2023-03-01,2023,3,2.0
Andaman And Nicobar Islands,2023-04-01,2023,4,1.0
Andaman And Nicobar Islands,2023-06-01,2023,6,1.0
Andaman And Nicobar Islands,2023-07-01,2023,7,3.0
Andaman And Nicobar Islands,2023-08-01,2023,8,3.0
Andaman And Nicobar Islands,2023-09-01,2023,9,1.0
Andaman And Nicobar Islands,2023-10-01,2023,10,2.0
Andaman And Nicobar Islands,2023-11-01,2023,11,4.0
Andaman And Nicobar Islands,2023-12-01,2023,12,9.0
Andaman And Nicobar Islands,2024-01-01,2024,1,3.0
Andaman And Nicobar Islands,2024-02-01,2024,2,6.0
Andaman And Nicobar Islands,2024-03-01,2024,3,3.0
Andaman And Nicobar Islands,2024-04-01,2024,4,13.0
Andaman And Nicobar Islands,2024-05-01,2024,5,4.0
Andhra Pradesh,2019-01-01,2019,1,195.0
Andhra Pradesh,2019-02-01,2019,2,294.0
Andhra Pradesh,2019-03-01,2019,3,367.0
Andhra Pradesh,2019-04-01,2019,4,279.0
Andhra Pradesh,2019-05-01,2019,5,78.0
Andhra Pradesh,2019-06-01,2019,6,189.0
Andhra Pradesh,2019-07-01,2019,7,75.0
Andhra Pradesh,2019-08-01,2019,8,151.0
Andhra Pradesh,2019-09-01,2019,9,64.0
Andhra Pradesh,2019-10-01,2019,10,118.0
