Sl_No,2020,2021,2022,2023,Grand_Total,State_UT_Andaman And Nicobar Islands,State_UT_Andhra Pradesh,State_UT_Arunachal Pradesh,State_UT_Assam,State_UT_Bihar,State_UT_Chandigarh,State_UT_Chhattisgarh,State_UT_Dadra And Nagar Haveli And Daman And Diu,State_UT_Delhi,State_UT_Goa,State_UT_Grand Total,State_UT_Gujarat,State_UT_Haryana,State_UT_Himachal Pradesh,State_UT_Jammu And Kashmir,State_UT_Jharkhand,State_UT_Karnataka,State_UT_Kerala,State_UT_Ladakh,State_UT_Madhya Pradesh,State_UT_Maharashtra,State_UT_Manipur,State_UT_Meghalaya,State_UT_Mizoram,State_UT_Nagaland,State_UT_Odisha,State_UT_Puducherry,State_UT_Punjab,State_UT_Rajasthan,State_UT_Tamil Nadu,State_UT_Tripura,State_UT_Uttar Pradesh,State_UT_Uttarakhand,State_UT_West Bengal
1.0,36.0,92,23,18,169,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2.0,1654.0,9738,29450,29546,70388,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,5.0,2,2,17,26,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.0,8357.0,15634,40719,56448,121158,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5.0,12447.0,23082,55751,79469,170749,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6.0,369.0,734,2721,5753,9577,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7.0,1489.0,4215,22364,35115,63183,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.0,12377.0,25816,62256,64382,164831,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9.0,82.0,1096,5688,8637,15503,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.0,1120.0,9765,68998,83965,163848,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11.0,2982.0,8660,25864,27465,64971,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.0,181.0,327,1008,1003,2519,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13.0,74.0,1146,4689,8823,14732,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14.0,1516.0,3741,13682,19096,38035,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
