Category,Fuel_Type,Financial_Year,Registrations,Year,Is_EV
All Vehicles,Total,FY2011,14483963.0,2011,False
All Vehicles,EV,FY2011,4904.0,2011,True
All Vehicles,Petrol,FY2011,11718948.0,2011,False
All Vehicles,Diesel,FY2011,2277069.0,2011,False
2W,Total,FY2011,10489721.0,2011,False
2W,EV,FY2011,4068.0,2011,True
2W,Petrol,FY2011,10467018.0,2011,False
3W Passenger,Total,FY2011,364407.0,2011,False
3W Passenger,EV,FY2011,19.0,2011,True
3W Passenger,Diesel,FY2011,218672.0,2011,False
3W Passenger,Petrol/CNG,FY2011,39917.0,2011,False
3W Goods,Total,FY2011,65737.0,2011,False
3W Goods,EV,FY2011,7.0,2011,True
3W Goods,Diesel,FY2011,57535.0,2011,False
3W Goods,CNG,FY2011,6835.0,2011,False
Cars,Total,FY2011,2331579.0,2011,False
Cars,EV,FY2011,411.0,2011,True
Cars,Diesel,FY2011,875334.0,2011,False
Cars,Petrol,FY2011,1185924.0,2011,False
Bus,Total,FY2011,109281.0,2011,False
Bus,EV,FY2011,2.0,2011,True
Bus,Diesel,FY2011,90256.0,2011,False
LGV (up to 7/5 tonnes),Total,FY2011,312051.0,2011,False
LGV (up to 7/5 tonnes),EV,FY2011,24.0,2011,True
LGV (up to 7/5 tonnes),Diesel,FY2011,299014.0,2011,False
MGV (7.5-12 tonnes),Total,FY2011,48631.0,2011,False
MGV (7.5-12 tonnes),EV,FY2011,0.0,2011,True
MGV (7.5-12 tonnes),Diesel,FY2011,48147.0,2011,False
HGV (>12 tonnes),Total,FY2011,234711.0,2011,False
HGV (>12 tonnes),EV,FY2011,7.0,2011,True
HGV (>12 tonnes),Diesel,FY2011,233267.0,2011,False
Others,Total,FY2011,529752.0,2011,False
Others,EV,FY2011,358.0,2011,True
All Vehicles,Total,FY2012,16781232.0,2012,False
All Vehicles,EV,FY2012,7665.0,2012,True
All Vehicles,Petrol,FY2012,13504311.0,2012,False
All Vehicles,Diesel,FY2012,2779009.0,2012,False
2W,Total,FY2012,12378594.0,2012,False
2W,EV,FY2012,6662.0,2012,True
2W,Petrol,FY2012,12355175.0,2012,False
3W Passenger,Total,FY2012,367666.0,2012,False
3W Passenger,EV,FY2012,28.0,2012,True
3W Passenger,Diesel,FY2012,199938.0,2012,False
3W Passenger,Petrol/CNG,FY2012,48040.0,2012,False
3W Goods,Total,FY2012,77944.0,2012,False
3W Goods,EV,FY2012,10.0,2012,True
3W Goods,Diesel,FY2012,69966.0,2012,False
3W Goods,CNG,FY2012,6280.0,2012,False
Cars,Total,FY2012,2543941.0,2012,False
Cars,EV,FY2012,698.0,2012,True
Cars,Diesel,FY2012,1170069.0,2012,False
Cars,Petrol,FY2012,1097594.0,2012,False
Bus,Total,FY2012,114306.0,2012,False
Bus,EV,FY2012,4.0,2012,True
Bus,Diesel,FY2012,98022.0,2012,False
LGV (up to 7/5 tonnes),Total,FY2012,381889.0,2012,False
LGV (up to 7/5 tonnes),EV,FY2012,24.0,2012,True
LGV (up to 7/5 tonnes),Diesel,FY2012,381889.0,2012,False
MGV (7.5-12 tonnes),Total,FY2012,44279.0,2012,False
MGV (7.5-12 tonnes),EV,FY2012,1.0,2012,True
MGV (7.5-12 tonnes),Diesel,FY2012,43776.0,2012,False
HGV (>12 tonnes),Total,FY2012,254584.0,2012,False
HGV (>12 tonnes),EV,FY2012,10.0,2012,True
HGV (>12 tonnes),Diesel,FY2012,252254.0,2012,False
Others,Total,FY2012,621360.0,2012,False
Others,EV,FY2012,223.0,2012,True
All Vehicles,Total,FY2013,17506912.0,2013,False
All Vehicles,EV,FY2013,4045.0,2013,True
All Vehicles,Petrol,FY2013,13931829.0,2013,False
All Vehicles,Diesel,FY2013,3128371.0,2013,False
2W,Total,FY2013,12989261.0,2013,False
2W,EV,FY2013,3477.0,2013,True
2W,Petrol,FY2013,12967756.0,2013,False
3W Passenger,Total,FY2013,408442.0,2013,False
3W Passenger,EV,FY2013,17.0,2013,True
3W Passenger,Diesel,FY2013,266284.0,2013,False
3W Passenger,Petrol/CNG,FY2013,71010.0,2013,False
3W Goods,Total,FY2013,73002.0,2013,False
3W Goods,EV,FY2013,14.0,2013,True
3W Goods,Diesel,FY2013,67844.0,2013,False
3W Goods,CNG,FY2013,4034.0,2013,False
Cars,Total,FY2013,2586828.0,2013,False
Cars,EV,FY2013,229.0,2013,True
Cars,Diesel,FY2013,1446377.0,2013,False
Cars,Petrol,FY2013,923852.0,2013,False
Bus,Total,FY2013,122343.0,2013,False
Bus,EV,FY2013,1.0,2013,True
Bus,Diesel,FY2013,107921.0,2013,False
LGV (up to 7/5 tonnes),Total,FY2013,441451.0,2013,False
LGV (up to 7/5 tonnes),EV,FY2013,28.0,2013,True
LGV (up to 7/5 tonnes),Diesel,FY2013,429138.0,2013,False
MGV (7.5-12 tonnes),Total,FY2013,35305.0,2013,False
MGV (7.5-12 tonnes),EV,FY2013,1.0,2013,True
MGV (7.5-12 tonnes),Diesel,FY2013,34990.0,2013,False
HGV (>12 tonnes),Total,FY2013,205544.0,2013,False
HGV (>12 tonnes),EV,FY2013,11.0,2013,True
HGV (>12 tonnes),Diesel,FY2013,200494.0,2013,False
Others,Total,FY2013,652197.0,2013,False
Others,EV,FY2013,263.0,2013,True
All Vehicles,Total,FY2014,17964752.0,2014,False
All Vehicles,EV,FY2014,2634.0,2014,True
All Vehicles,Petrol,FY2014,14649851.0,2014,False
All Vehicles,Diesel,FY2014,2919775.0,2014,False
2W,Total,FY2014,13685653.0,2014,False
2W,EV,FY2014,1895.0,2014,True
2W,Petrol,FY2014,13667561.0,2014,False
3W Passenger,Total,FY2014,353250.0,2014,False
