Date,Actual,Predicted,Year,Month,State
2019-05-01,2.0,1.9802769407685306,2019,5,Andaman And Nicobar Islands
2019-06-01,0.0,2.0909866674098083,2019,6,Andaman And Nicobar Islands
2019-07-01,0.0,2.19849006748425,2019,7,Andaman And Nicobar Islands
2019-08-01,0.0,2.302787140991856,2019,8,Andaman And Nicobar Islands
2019-09-01,0.0,2.403877887932626,2019,9,Andaman And Nicobar Islands
2019-10-01,0.0,2.501762308306561,2019,10,Andaman And Nicobar Islands
2019-11-01,0.0,2.59644040211366,2019,11,Andaman And Nicobar Islands
2019-12-01,0.0,2.6879121693539227,2019,12,Andaman And Nicobar Islands
2020-01-01,0.0,2.77617761002735,2020,1,Andaman And Nicobar Islands
2020-02-01,3.0,2.861236724133942,2020,2,Andaman And Nicobar Islands
2020-03-01,0.0,2.9430895116736977,2020,3,Andaman And Nicobar Islands
2020-04-01,0.0,3.021735972646618,2020,4,Andaman And Nicobar Islands
2020-05-01,0.0,3.0971761070527024,2020,5,Andaman And Nicobar Islands
2020-06-01,10.0,3.169409914891951,2020,6,Andaman And Nicobar Islands
2020-07-01,15.0,3.2384373961643638,2020,7,Andaman And Nicobar Islands
2020-08-01,0.0,3.3042585508699407,2020,8,Andaman And Nicobar Islands
2020-09-01,1.0,3.366873379008682,2020,9,Andaman And Nicobar Islands
2020-10-01,3.0,3.4262818805805884,2020,10,Andaman And Nicobar Islands
2020-11-01,2.0,3.482484055585658,2020,11,Andaman And Nicobar Islands
2020-12-01,2.0,3.5354799040238922,2020,12,Andaman And Nicobar Islands
2021-01-01,15.0,3.585269425895291,2021,1,Andaman And Nicobar Islands
2021-02-01,26.0,3.6318526211998536,2021,2,Andaman And Nicobar Islands
2021-03-01,31.0,3.6752294899375806,2021,3,Andaman And Nicobar Islands
2021-04-01,9.0,3.715400032108472,2021,4,Andaman And Nicobar Islands
2021-05-01,0.0,3.752364247712528,2021,5,Andaman And Nicobar Islands
2021-06-01,0.0,3.7861221367497473,2021,6,Andaman And Nicobar Islands
2021-07-01,8.0,3.8166736992201313,2021,7,Andaman And Nicobar Islands
2021-08-01,1.0,3.844018935123679,2021,8,Andaman And Nicobar Islands
2021-09-01,0.0,3.868157844460392,2021,9,Andaman And Nicobar Islands
2021-10-01,1.0,3.889090427230269,2021,10,Andaman And Nicobar Islands
2021-11-01,0.0,3.90681668343331,2021,11,Andaman And Nicobar Islands
2021-12-01,1.0,3.9213366130695153,2021,12,Andaman And Nicobar Islands
2022-01-01,0.0,3.932650216138885,2022,1,Andaman And Nicobar Islands
2022-02-01,0.0,3.940757492641419,2022,2,Andaman And Nicobar Islands
2022-03-01,2.0,3.945658442577117,2022,3,Andaman And Nicobar Islands
2022-04-01,1.0,3.9473530659459795,2022,4,Andaman And Nicobar Islands
2022-05-01,0.0,3.9458413627480056,2022,5,Andaman And Nicobar Islands
2022-06-01,0.0,3.941123332983197,2022,6,Andaman And Nicobar Islands
2022-07-01,0.0,3.9331989766515516,2022,7,Andaman And Nicobar Islands
2022-08-01,0.0,3.922068293753072,2022,8,Andaman And Nicobar Islands
2022-09-01,0.0,3.907731284287755,2022,9,Andaman And Nicobar Islands
2022-10-01,0.0,3.8901879482556034,2022,10,Andaman And Nicobar Islands
2022-11-01,7.0,3.8694382856566154,2022,11,Andaman And Nicobar Islands
